7.636471707975442769e+01 2.060015893759504224e-01 2.366073754051930406e-02
7.700056471639121014e+01 1.148964811346163406e-01 1.364790484457405716e-02
7.618784040316728579e+01 2.783757407656417548e-01 1.991804313412542243e-02
7.520695607242642211e+01 3.979397974862828313e-01 2.379410700209243223e-02
7.612603069756121954e+01 4.227241206968033183e-01 2.228053337683924898e-02
7.520070753711677014e+01 3.468750784082498817e-01 1.532252389839512674e-02
7.693845030130727025e+01 3.050074089013747325e-01 1.909823237294994841e-02
7.537907045559606445e+01 4.322541338674030231e-01 1.924619764844486686e-02
7.563167217783689011e+01 2.747866449511770504e-01 2.259663017343097047e-02
7.642544406436408622e+01 3.512732611595988375e-01 2.210156586833113626e-02
7.820164760087045863e+01 2.693584983615384676e-01 1.750125498013884243e-02
7.524622727175211878e+01 3.715979422575495517e-01 2.550718191571166651e-02
7.594605254234512870e+01 2.259843523037471935e-01 1.597814041126224480e-02
7.671059278782470869e+01 3.843254171203442371e-01 2.264953301612290457e-02
7.539449029271131053e+01 3.332161323066719638e-01 2.056919906897916248e-02
7.627868859672901181e+01 3.971428777948189937e-01 2.109070999402284236e-02
7.673891356307190392e+01 3.167579069488891674e-01 2.141033853019504510e-02
7.669128822583854799e+01 1.642844180144333588e-01 1.844062821289121218e-02
7.558962734570719988e+01 2.461122151756657828e-01 1.865784267694300599e-02
7.755494131123440127e+01 2.234168884306756697e-01 2.472330904678771146e-02
7.437713022838420329e+01 2.765114970014225237e-01 2.079391739075612394e-02
7.664622233135928298e+01 3.811226579792855174e-01 2.386998651317036660e-02
7.571127492775156043e+01 2.637648207335432926e-01 2.418524820125440844e-02
7.586869567511838852e+01 1.824313676662077943e-01 1.447176968778789846e-02
7.514054771399838728e+01 3.597160744053763959e-01 2.069475968814910027e-02
7.675048535406777717e+01 2.672747353663465497e-01 2.077336434671567950e-02
7.668559039396734534e+01 2.790653460279761688e-01 2.222817189052395809e-02
7.539807405893334646e+01 2.736946153434928197e-01 1.813786393171546926e-02
7.486416035441095573e+01 3.586972480785581840e-01 1.771023248681598272e-02
7.607249411872768974e+01 3.580746658905908930e-01 2.217820085868265484e-02
7.672538510897278741e+01 3.001514515490576462e-01 1.793513018515046839e-02
7.598028178909360975e+01 1.412665566041970133e-01 1.294091476866786675e-02
